"Question","Category","Page/Section","Format","Priority","Solution Tags","Notes"
"What is Serve Funding and how are they different?","About Serve Funding","Homepage","Video+Text","High","All","Main homepage value prop - Michael intro video"
"What if my bank denied me?","About Serve Funding","Homepage FAQ","Video","High","ABL, Working Capital, Debt Refinance","Objection handling - high intent"
"How fast can I get funding?","Process & Timeline","Homepage FAQ","Video","High","All","Objection handling - urgency signal"
"How much does Serve Funding cost?","Cost & Pricing","Homepage FAQ","Text","High","All","Transparency on 1-2% fee"
"What industries do you serve?","About Serve Funding","Homepage FAQ","Text","Medium","All","Trust signal"
"Why work with an advisor instead of going direct to a lender?","About Serve Funding","Homepage FAQ","Video","High","All","Core differentiation question"
"What is working capital and when should I use it?","Solution Explainer","Working Capital Loans","Video+Text","High","Working Capital","Main solution page question"
"How fast can I get working capital?","Process & Timeline","Working Capital Loans","Video","High","Working Capital","Timeline objection"
"What's the typical cost of working capital financing?","Cost & Pricing","Working Capital Loans","Video","High","Working Capital","Cost comparison"
"What if my business is new with no revenue?","Objection Handling","Working Capital Loans","Video","High","Working Capital","Common barrier"
"How much working capital can I get?","Qualification","Working Capital Loans","Text","Medium","Working Capital","Amount expectations"
"What happens if I can't get approved by a bank?","Objection Handling","Working Capital Loans","Video","High","Working Capital","Referral driver"
"Working capital loans vs. lines of credit - which is right for me?","Comparison","Working Capital Loans","Video","High","Working Capital","Decision question"
"What documents do I need to qualify for working capital?","Process & Timeline","Working Capital Loans","Text","Medium","Working Capital","Friction reducer"
"What is asset-based lending and who needs it?","Solution Explainer","Asset-Based Lending","Video+Text","High","ABL","Main solution page question"
"How fast can I get asset-based lending?","Process & Timeline","Asset-Based Lending","Video","High","ABL","Timeline objection"
"What assets can I use as collateral?","Qualification","Asset-Based Lending","Video","Medium","ABL","Qualification question"
"What's the cost of asset-based lending?","Cost & Pricing","Asset-Based Lending","Video","High","ABL","Cost comparison"
"How is asset-based lending different from invoice factoring?","Comparison","Asset-Based Lending","Video","High","ABL, Factoring","Decision question"
"Can I get asset-based lending if I have bad credit?","Objection Handling","Asset-Based Lending","Video","Medium","ABL","Common barrier"
"What happens after I apply for asset-based lending?","Process & Timeline","Asset-Based Lending","Video","Medium","ABL","Friction reducer"
"How much can I borrow with asset-based lending?","Qualification","Asset-Based Lending","Text","Medium","ABL","Amount expectations"
"What is invoice factoring and is it right for my business?","Solution Explainer","Invoice Factoring","Video+Text","High","Factoring","Main solution page question"
"How fast do I get paid with invoice factoring?","Process & Timeline","Invoice Factoring","Video","High","Factoring","Speed objection"
"What does invoice factoring cost?","Cost & Pricing","Invoice Factoring","Video","High","Factoring","Cost comparison"
"What industries use invoice factoring most?","Industry Specific","Invoice Factoring","Text","Medium","Factoring","Use case examples"
"Invoice factoring vs. asset-based lending - which is better?","Comparison","Invoice Factoring","Video","High","Factoring, ABL","Decision question"
"Can I use factoring while still getting other financing?","Qualification","Invoice Factoring","Text","Medium","Factoring","Combination question"
"What if my customer doesn't pay on time?","Risk Handling","Invoice Factoring","Video","Medium","Factoring","Risk question"
"How much can I factor?","Qualification","Invoice Factoring","Text","Medium","Factoring","Amount expectations"
"How can I refinance my expensive debt?","Solution Explainer","Debt Refinancing","Video+Text","High","Debt Refinance","Main solution page question"
"What debt can be refinanced?","Qualification","Debt Refinancing","Video","Medium","Debt Refinance","Scope question"
"How much money can I save by refinancing?","Cost & Pricing","Debt Refinancing","Video","High","Debt Refinance","ROI driver"
"How long does refinancing take?","Process & Timeline","Debt Refinancing","Video","Medium","Debt Refinance","Timeline question"
"Can I refinance MCA debt?","The Honest Math","Debt Refinancing","Video","High","Debt Refinance","MCA escape - high intent"
"What's the difference between debt refinance and consolidation?","Comparison","Debt Refinancing","Text","Medium","Debt Refinance","Clarification"
"What if I have multiple loans I want to consolidate?","Objection Handling","Debt Refinancing","Video","Medium","Debt Refinance","Specific situation"
"How do you negotiate better terms?","Process & Timeline","Debt Refinancing","Video","Medium","Debt Refinance","Process clarity"
"What makes an MCA a debt trap?","The Honest Math","Blog/Resources","Video+Text","High","Debt Refinance","Core founder pain point - educational"
"Can I negotiate smaller daily pulls instead of refinancing?","The Honest Math","Blog/Resources","Video+Text","High","Debt Refinance","Real founder question - math-driven answer"
"If I'm stuck in MCA spiral with multiple advances what's the realistic timeline to get out?","The Honest Math","FAQ","Video","High","Debt Refinance","Urgent pain point - concrete timeline"
"What's the real APR on RBF when they say 10% fixed fee—is it actually 18-40% annualized?","The Honest Math","Blog/Resources","Video+Text","High","RBF, Blog","Transparency question - trust builder"
"If I borrow $100K with RBF at a 1.3x multiple am I paying that back in 6 months or 24 months and what's my monthly payment?","The Honest Math","Blog/Resources","Video+Text","High","RBF","Math/transparency - decision driver"
"Why won't RBF lenders just give me the APR number like banks do?","The Honest Math","Blog/Resources","Video+Text","High","RBF","Honest perspective - credibility builder"
"Which is actually cheaper over 24 months—350% APR MCA or RBF with 1.5x cap?","The Honest Math","Blog/Resources","Video+Text","High","MCA, RBF","Head-to-head cost comparison"
"If I qualify for both MCA and RBF with $100K what specific factors should make me choose one over the other?","The Honest Math","FAQ","Video","High","MCA, RBF","Decision framework"
"What happens to my RBF payments if my revenue drops 40%—do I negotiate or am I stuck in default?","The Honest Math","Blog/Resources","Video","High","RBF","Risk assessment - founder concern"
"Is RBF actually too risky for seasonal businesses or can the payment structure adapt to my cash flow?","The Honest Math","Blog/Resources","Video+Text","High","RBF","Industry-specific - seasonal founder pain"
"If my revenue is down in January but RBF still wants their percentage cut can I face a cash crisis?","The Honest Math","Blog/Resources","Video","High","RBF","Risk scenario - trust builder"
"Does RBF appear on my personal credit report and how long until the impact fades?","The Honest Math","FAQ","Text","Medium","RBF","Credit impact question"
"Do venture capitalists view RBF debt negatively on my balance sheet?","The Honest Math","Blog/Resources","Video","Medium","RBF","Startup-specific question"
"What happens to my RBF debt in a venture capital funding event—do I have to repay it?","The Honest Math","Blog/Resources","Video","Medium","RBF","Startup exit planning"
"Can I realistically get out of $150K in MCA debt in 90 days or is that optimistic?","The Honest Math","FAQ","Video","High","Debt Refinance","Realistic timeline - pain point"
"If I refinance my MCA am I just trading one expensive debt for another or will I actually save money?","The Honest Math","FAQ","Video","High","Debt Refinance","Objection handling - skepticism"
"What's the actual savings on MCA consolidation—is it 30-50% on the rate or on my total monthly payments?","The Honest Math","Blog/Resources","Video+Text","High","Debt Refinance","Math transparency - decision driver"
"If I consolidate multiple MCAs will the new lender require a blanket lien on all my assets limiting my future options?","The Honest Math","Blog/Resources","Video","High","Debt Refinance","Risk/terms question"
"How does the New York FAIR Act actually protect me and is it spreading to other states?","Regulation & Compliance","Blog/Resources","Text","Medium","Debt Refinance","Legal/protection question"
"Are MCAs essentially illegal now in 2026 or just more regulated?","Regulation & Compliance","Blog/Resources","Text","Medium","Debt Refinance","Current landscape question"
"If I got trapped in predatory MCA terms does the FAIR Act let me sue my lender or negotiate better terms?","Regulation & Compliance","Blog/Resources","Text","Medium","Debt Refinance","Legal recourse"
"How many hard credit pulls is too many? Do multiple alternative lender applications hurt my score?","Qualification","FAQ","Text","Medium","All","Credit concern - common question"
"Do soft credit pulls from multiple RBF lenders stack up and hurt my score or is each one inconsequential?","Qualification","FAQ","Text","Medium","RBF","Credit concern"
"Will my customers know I'm factoring invoices when they get the notice of assignment?","Risk Handling","Factoring FAQ","Video","Medium","Factoring","Social proof concern"
"What's the difference between recourse and non-recourse factoring and which actually protects me?","Comparison","Factoring FAQ","Video","High","Factoring","Risk/protection question"
"If I factor invoices do I lose all control over customer relationships or can I still collect payments myself?","Process & Timeline","Factoring FAQ","Video","Medium","Factoring","Control/process question"
"What's the real total cost of invoice factoring when I add in all the fees not just the headline rate?","The Honest Math","Factoring FAQ","Video","High","Factoring","Cost transparency"
"Can I factor just one large invoice or does the factoring company demand all future invoices?","Qualification","Factoring FAQ","Text","Medium","Factoring","Flexibility question"
"If my B2B customers are startups with questionable credit will factoring companies still work with me?","Qualification","Factoring FAQ","Video","Medium","Factoring","Customer type question"
"With asset-based lending why is my available credit smaller than my stated borrowing base?","The Honest Math","ABL FAQ","Video","High","ABL","Math/terms transparency"
"If my ABL inventory value drops 30% can the lender reduce my available credit or recall the loan?","Risk Handling","ABL FAQ","Video","High","ABL","Downside risk - founder concern"
"When lenders field audit my ABL collateral who pays for it and can they discover issues that reduce my advance rate?","Cost & Pricing","ABL FAQ","Video","Medium","ABL","Hidden cost question"
"Does ABL require me to surrender control of invoices and inventory or can I still manage customer relationships?","Process & Timeline","ABL FAQ","Video","Medium","ABL","Control/process question"
"Why would I choose ABL over a traditional bank line if my bank already gave me one?","Comparison","ABL FAQ","Video","High","ABL","Decision question - when ABL makes sense"
"If I'm doing $500K revenue but only 4 months in can I actually get funded or is the 6-month minimum a hard floor?","Qualification","FAQ","Video","Medium","All","Common barrier - time-in-business"
"If Serve Funding gets paid by lenders are they incentivized to place me with best deal or whoever pays them most?","About Serve Funding","FAQ","Video","High","All","Trust/incentive alignment - critical"
"Can I go direct to lenders and get better terms by cutting out the middleman?","About Serve Funding","FAQ","Video","Medium","All","Direct vs. advisor comparison"
"Does Serve Funding have exclusive relationships that limit my options?","About Serve Funding","FAQ","Text","Medium","All","Lender access question"
"What's the realistic minimum deal size—is $250K actually feasible?","Qualification","FAQ","Text","Medium","All","Deal size expectations"
"If I get rejected through Serve Funding do rejections burn bridges with direct lenders?","About Serve Funding","FAQ","Video","Medium","All","Risk of intermediary rejection"
"Can I get funding if I'm a solo founder with no technical co-founder?","Qualification","FAQ","Text","Medium","All","Founder composition question"
"What if my revenue is seasonal—will lenders adjust for industries with 80% revenue in Q4?","Qualification","FAQ","Video","Medium","All","Seasonal business adjustment"
"Do CDFI lenders really have lower requirements or do they just take longer to reject you?","Alternative Lenders","Blog/Resources","Text","Medium","All","Alternative lender reality check"
"Can I qualify for equipment financing if the equipment I need hasn't been manufactured yet?","Qualification","Equipment Finance FAQ","Text","Medium","Equipment","Custom equipment question"
"Should I take a smaller amount at worse terms now to build business credit, then refinance in 6 months?","Strategy","Blog/Resources","Video","Medium","All","Multi-stage strategy question"
"If I bootstrap to $200K ARR first, how much better will my funding terms be versus trying to raise at $0?","Strategy","Blog/Resources","Video","Medium","All","Growth trajectory vs. timing"
"Can I use crowdfunding pre-sales to create 'revenue' that qualifies me for RBF?","Alternative Strategies","Blog/Resources","Text","Low","RBF","Creative funding question"
"Which is less dilutive long-term: giving up 25% equity now or paying 2x back on RBF over 18 months?","Comparison","Blog/Resources","Video","High","Equity, RBF","Equity vs. debt decision framework"
"If traditional banks already rejected me twice, does applying to alternative lenders hurt my credit further?","Qualification","FAQ","Text","Medium","All","Credit impact concern"
"What's the real APR on RBF when they say '10% fixed fee'—is it actually 18-40% annualized?","The Honest Math","RBF FAQ","Video+Text","High","RBF","Cost transparency - critical"
"Can I get RBF if I'm pre-revenue but have signed contracts or letters of intent?","Qualification","RBF FAQ","Video","Medium","RBF","Pre-revenue RBF question"
"What happens to my RBF repayment obligation if I raise venture capital later?","Risk Handling","RBF FAQ","Video","High","RBF","Exit scenario question"
"Do RBF lenders look at my personal credit score or just my recurring revenue?","Qualification","RBF FAQ","Text","Medium","RBF","Credit requirement question"
"What's the actual minimum credit score I need—is 580 really the floor or can I go lower?","Qualification","FAQ","Text","Medium","All","Credit floor question"
"If I have no collateral and bad personal credit, which funders will even look at my application?","Qualification","FAQ","Video","High","All","Worst-case scenario question"
"Can I use future invoices as collateral if I don't own property or equipment?","Qualification","FAQ","Video","Medium","All","Creative collateral question"
"Will a merchant cash advance destroy my cash flow even if I qualify easily?","The Honest Math","MCA FAQ","Video","High","Debt Refinance","Risk warning - honest assessment"
"What revenue threshold do I actually need to hit before alternative lenders will consider me?","Qualification","FAQ","Video","Medium","All","Minimum revenue expectations"
"How much does invoice factoring actually cost when you factor in all the fees, not just the headline rate?","The Honest Math","Factoring FAQ","Video+Text","High","Factoring","Cost transparency"
"What's the total cost of capital comparison between 350% APR MCA and diluting 20% equity?","The Honest Math","Blog/Resources","Video+Text","High","Equity, MCA","Decision framework video"
"Are there prepayment penalties if my business grows faster and I want to pay off RBF early?","Terms & Conditions","RBF FAQ","Text","Medium","RBF","Flexibility question"
"What's the difference between 'no personal guarantee' and 'general lien on business assets'—am I still at risk?","Terms & Conditions","FAQ","Video","Medium","All","Legal/risk clarification"
"How do I calculate whether giving up 15% equity to an angel is cheaper than RBF with a 1.5x cap?","Comparison","Blog/Resources","Video","High","Equity, RBF","Math comparison"
"If I've only been in business 3 months but doing $25K/month, can I skip the 6-month minimum?","Qualification","FAQ","Video","Medium","All","Growth exception question"
"Does working with Serve Funding trigger hard credit pulls and how many?","Process & Timeline","FAQ","Text","Medium","All","Credit pull concern"
"If I have a 600 credit score and $500K revenue, what are my realistic chances?","Qualification","FAQ","Video","High","All","Realistic assessment - no sugar coating"
"For subordinated debt, what restrictions will the lender put on business operations?","Terms & Conditions","Debt FAQ","Text","Medium","Debt Refinance","Operational constraints"
"What's the intercreditor agreement situation—if I have ABL and subordinated debt, do they fight over collateral?","Terms & Conditions","ABL FAQ","Text","Medium","ABL","Multi-lender complexity"
"Can Serve Funding work with me if I already have existing debt?","Qualification","FAQ","Video","Medium","All","Existing debt question"
"If I have MCA killing my cash flow, can I get bridge funding WHILE having MCA or must I pay it off first?","Strategy","FAQ","Video","High","Bridge, Debt Refinance","Creative restructuring"
"Does Serve Funding represent me exclusively or are they also getting paid by lenders?","About Serve Funding","FAQ","Video","High","All","Incentive alignment - trust critical"
"If a deal falls through after term sheet, does Serve Funding keep shopping me or do I start over?","Process & Timeline","FAQ","Text","Medium","All","Deal failure scenario"
"What happens if the lender changes terms between term sheet and closing?","Process & Timeline","FAQ","Video","Medium","All","Term change risk"
"Can I negotiate the lender terms Serve Funding brings me, or is it take-it-or-leave-it?","Qualification","FAQ","Video","Medium","All","Negotiation flexibility"
"If I'm a woman or minority founder, does Serve Funding have access to diversity-focused lenders?","About Serve Funding","FAQ","Video","Medium","All","Diversity funding access"
"For real estate lending, can I use the property my business operates from?","Collateral","Real Estate FAQ","Text","Medium","Real Estate, ABL","Owner-occupied vs. investment"
"What's the loan-to-value ratio on commercial real estate—70%, 75%, 80%?","Terms & Conditions","Real Estate FAQ","Text","Medium","Real Estate","LTV expectations"
"If my business is seasonal, will lenders structure payments around my cash flow cycle?","Terms & Conditions","FAQ","Video","Medium","All","Seasonal business flexibility"
"Can I get funding if I'm pre-revenue but have signed contracts?","Qualification","FAQ","Video","Medium","All","Pre-revenue qualification"
"What's Serve Funding's relationship with lenders—will they advocate if I have issues after closing?","About Serve Funding","FAQ","Video","Medium","All","Post-close support question"
"How much working capital do I need if customers pay net-60 but suppliers require net-30?","Strategy","Working Capital FAQ","Video","Medium","Working Capital","Working capital calculation"
"Can I get working capital if my bank just denied my line of credit renewal?","Objection Handling","Working Capital FAQ","Video","Medium","Working Capital","Bank rejection scenario"
"What's the actual difference between a working capital loan and a line of credit?","Comparison","Working Capital FAQ","Video","Medium","Working Capital","Product comparison"
"Which business funding option can I actually get funded in 24-48 hours?","Process & Timeline","FAQ","Video","High","All","Speed reality check"
"How fast is invoice factoring from application to cash in account—days or weeks?","Process & Timeline","Factoring FAQ","Video","High","Factoring","Speed question"
"What makes an invoice factoring company 'best'—lowest rates, fastest funding, or best service?","Comparison","Factoring FAQ","Text","Medium","Factoring","Value definition"
"How does asset-based lending work if my AR fluctuates month to month?","Process & Timeline","ABL FAQ","Video","Medium","ABL","Variable collateral handling"
"What's the real difference between equipment leasing and buying when I account for all costs?","Comparison","Equipment FAQ","Video","Medium","Equipment","Cost comparison"
"Is equipment leasing more expensive than buying over 5 years or does tax deduction make it cheaper?","The Honest Math","Equipment FAQ","Video","Medium","Equipment","Long-term cost analysis"
"What are the actual SBA loan requirements—can I qualify with 650 credit and 2 years in business?","Qualification","SBA FAQ","Video","Medium","SBA","Qualification threshold"
"How much can I realistically borrow with an SBA loan at $1M revenue?","Qualification","SBA FAQ","Text","Medium","SBA","Lending amount expectations"
"What's the difference between SBA 7(a) and 504 loans, and which one is faster?","Comparison","SBA FAQ","Video","Medium","SBA","SBA product comparison"
"Should I use invoice factoring or ABL if I need $500K with $2M in AR?","Comparison","Blog/Resources","Video","High","Factoring, ABL","Head-to-head decision"
"Is equipment leasing or an equipment loan better if I need to preserve cash flow?","Comparison","Equipment FAQ","Video","High","Equipment","Cash flow preservation"
"What's better for seasonal businesses—working capital loan or line of credit?","Comparison","Working Capital FAQ","Video","Medium","Working Capital","Product selection"
"Why would I use invoice factoring instead of a traditional bank loan if factoring costs more?","Comparison","Factoring FAQ","Video","High","Factoring","When factoring makes sense"
"What's the actual difference between ABL and invoice factoring—aren't they the same?","Comparison","Blog/Resources","Video","High","ABL, Factoring","Product differentiation"
"Is a merchant cash advance ever a good idea or should I always choose a loan?","The Honest Math","Blog/Resources","Video","High","MCA","Honest MCA assessment"
"What happens to my ABL credit line if my inventory value drops 30%?","Risk Handling","ABL FAQ","Video","High","ABL","Collateral risk scenario"
"Can I choose which invoices to factor or do I have to factor all of them?","Flexibility","Factoring FAQ","Text","Medium","Factoring","Flexibility question"
"Do I lose control of my assets with ABL or can I still sell inventory and collect AR?","Process & Timeline","ABL FAQ","Video","Medium","ABL","Operational control question"
"Can I use asset-based lending to fund an acquisition?","Use Case","ABL FAQ","Video","Medium","ABL","Acquisition funding"
"How do lenders determine my ABL advance rate—what makes them offer 85% vs 70%?","Qualification","ABL FAQ","Video","Medium","ABL","Advance rate drivers"
"Are equipment lease payments fixed or do they change?","Terms & Conditions","Equipment FAQ","Text","Medium","Equipment","Payment structure"
"Can I get PO funding for international orders?","Use Case","PO Funding FAQ","Text","Medium","PO Funding","International question"
"What happens with PO funding if my customer cancels after supplier ships?","Risk Handling","PO Funding FAQ","Video","Medium","PO Funding","Risk scenario"
"Should I use PO funding or invoice factoring if I need to pay supplier upfront?","Comparison","Blog/Resources","Video","High","PO Funding, Factoring","Timing question"
"How long does business funding actually take from application to cash?","Process & Timeline","FAQ","Video","High","All","Reality check on timeline"
"What credit score do I actually need for business funding?","Qualification","FAQ","Text","Medium","All","Credit requirement clarity"
"What documents do I need to apply for business funding?","Process & Timeline","FAQ","Text","Medium","All","Application requirements"
"Can I qualify for a business loan with no collateral?","Qualification","FAQ","Video","High","All","No-collateral options"
"Will my customers know I'm factoring invoices?","Risk Handling","Factoring FAQ","Video","High","Factoring","Customer awareness concern"
"What's the difference between recourse and non-recourse factoring?","Comparison","Factoring FAQ","Video","High","Factoring","Risk/protection difference"
"Can I get invoice factoring with a 580 credit score?","Qualification","Factoring FAQ","Video","High","Factoring","Low credit qualification"
"Does invoice factoring show up on my business credit report?","Impact","Factoring FAQ","Text","Medium","Factoring","Credit reporting question"
"How long does it take to get my first invoice factored?","Process & Timeline","Factoring FAQ","Video","Medium","Factoring","Speed question"
"Can I get invoice factoring if I'm a staffing company with 30-day terms?","Industry Specific","Factoring FAQ","Video","Medium","Factoring","Staffing industry specific"
"What's the application process for invoice factoring?","Process & Timeline","Factoring FAQ","Text","Medium","Factoring","Process clarity"
"How much can I actually borrow with ABL on $3M AR and $2M inventory?","Qualification","ABL FAQ","Text","Medium","ABL","Lending amount expectations"
"How long does asset-based lending take to close?","Process & Timeline","ABL FAQ","Video","Medium","ABL","Timeline expectations"
"What are typical ABL rates—is 8% realistic or 12-15%?","Cost & Pricing","ABL FAQ","Video","High","ABL","Rate expectations"
"Why would I choose ABL over a traditional bank line?","Comparison","ABL FAQ","Video","High","ABL","When ABL wins vs. bank"
"Can I get asset-based lending for manufacturing with most value in WIP inventory?","Industry Specific","ABL FAQ","Video","Medium","ABL","Manufacturing specific"
"Can I get ABL with a 620 credit score?","Qualification","ABL FAQ","Video","High","ABL","Low credit ABL"
"What types of equipment can be leased?","Qualification","Equipment FAQ","Text","Medium","Equipment","Equipment types"
"Can I purchase equipment at lease end?","Terms & Conditions","Equipment FAQ","Text","Medium","Equipment","Purchase option"
"Are equipment lease payments 100% tax deductible?","Tax & Legal","Equipment FAQ","Text","Medium","Equipment","Tax treatment"
"Can I get equipment leasing with a 600 credit score?","Qualification","Equipment FAQ","Video","High","Equipment","Low credit leasing"
"How long are typical equipment leases?","Terms & Conditions","Equipment FAQ","Text","Medium","Equipment","Lease term expectations"
"Can I lease construction equipment like excavators?","Industry Specific","Equipment FAQ","Text","Medium","Equipment","Construction equipment"
"How does PO funding work if supplier is China but customer is US?","Process & Timeline","PO Funding FAQ","Video","Medium","PO Funding","International supply chain"
"How much can I get with PO funding—what percentage of PO value?","Qualification","PO Funding FAQ","Text","Medium","PO Funding","Funding percentage"
"What does PO funding cost compared to invoice factoring?","Cost & Pricing","PO Funding FAQ","Video","Medium","PO Funding","Cost comparison"
"What are the real PO funding requirements?","Qualification","PO Funding FAQ","Video","Medium","PO Funding","Requirements clarity"
"Who actually provides PO funding—banks, factors, or specialty lenders?","Alternative Lenders","PO Funding FAQ","Text","Medium","PO Funding","Lender types"
"What's the difference between SBA 7(a) and 504 for buying real estate?","Comparison","SBA FAQ","Video","Medium","SBA","Real estate SBA products"
"Can I get an SBA loan if traditional banks denied me?","Objection Handling","SBA FAQ","Video","Medium","SBA","Bank rejection scenario"
"What documents do I need for SBA loan application?","Process & Timeline","SBA FAQ","Text","Medium","SBA","Application requirements"
"Can I get an SBA loan for a restaurant/bar?","Qualification","SBA FAQ","Text","Medium","SBA","Industry restrictions"
"How much equity do I need to put down for an SBA loan?","Qualification","SBA FAQ","Text","Medium","SBA","Equity requirement"
"What's the best working capital solution for manufacturers with 60-90 day cycles?","Industry Specific","Blog/Resources","Video","Medium","Working Capital","Manufacturing specific"
"Can manufacturers get ABL against work-in-process inventory?","Industry Specific","ABL FAQ","Video","Medium","ABL","WIP collateral"
"What's the best equipment leasing for construction companies?","Industry Specific","Equipment FAQ","Video","Medium","Equipment","Construction specific"
"How do I get bridge financing for construction projects?","Use Case","Blog/Resources","Video","Medium","Bridge, Construction","Construction bridge"
"Can I get financing for a government contract before invoicing?","Use Case","Blog/Resources","Video","Medium","Government Contracting","Contract financing"
"What's the fastest invoice factoring for staffing companies?","Industry Specific","Factoring FAQ","Video","Medium","Factoring","Staffing quick cash"
"Can staffing companies get ABL or just factoring?","Industry Specific","ABL FAQ","Video","Medium","ABL, Factoring","Staffing options"
"How do I get quick cash flow for staffing with net-60 terms?","Industry Specific","Working Capital FAQ","Video","Medium","Working Capital","Staffing cash flow"
"What financing options exist for medical practices?","Industry Specific","Blog/Resources","Video","Medium","All","Healthcare specific"
"Can I lease medical equipment like MRI machines?","Industry Specific","Equipment FAQ","Text","Medium","Equipment","Healthcare equipment"
"What are working capital options for doctors with insurance delays?","Industry Specific","Working Capital FAQ","Video","Medium","Working Capital","Healthcare cash flow"
"How does inventory financing work for e-commerce on Amazon?","Industry Specific","Blog/Resources","Video","Medium","Inventory, E-commerce","E-commerce inventory"
"Can Amazon sellers get funding based on sales velocity?","Industry Specific","Blog/Resources","Video","Medium","Inventory, E-commerce","Amazon funding"
"What's the best e-commerce working capital solution?","Industry Specific","Working Capital FAQ","Video","Medium","Working Capital","E-commerce working capital"
"Can pre-revenue startups get any business financing besides equity?","Startup Strategy","Blog/Resources","Video","Medium","All","Pre-revenue startup options"
"What's the difference between RBF and venture debt for tech startups?","Comparison","Blog/Resources","Video","Medium","RBF, Venture Debt","Startup debt options"
"When should a startup use venture debt instead of another equity round?","Strategy","Blog/Resources","Video","Medium","Venture Debt","Startup funding strategy"
"What's better for a growing profitable business—SBA loan or alternative financing?","Comparison","Blog/Resources","Video","Medium","SBA, Alternative Lending","Growth financing decision"
"Should I raise venture capital or use venture debt if I'm profitable?","Strategy","Blog/Resources","Video","Medium","Equity, Venture Debt","Profitable startup strategy"
"Can I get business funding if I have IRS tax liens?","Qualification","FAQ","Video","High","All","Tax issue obstacle"
"What funding options exist for businesses with 550 credit and past defaults?","Qualification","FAQ","Video","High","All","Worst credit scenario"
"How do I avoid merchant cash advances?","Alternative Strategies","Blog/Resources","Video","High","MCA","MCA avoidance"
"Can I get funding if my bank denied me?","Objection Handling","FAQ","Video","High","All","Bank rejection path"
"What does business funding actually cost—10%, 15%, 20%+ annually?","The Honest Math","Blog/Resources","Video+Text","High","All","Total cost transparency"
"Is invoice factoring considered a loan for accounting purposes?","Accounting & Legal","Factoring FAQ","Text","Medium","Factoring","Accounting treatment"
"How much of my receivables can I factor—100% or maximum percentage?","Qualification","Factoring FAQ","Text","Medium","Factoring","Factoring amount limits"
"What specific assets can I use for ABL?","Qualification","ABL FAQ","Video","Medium","ABL","Eligible collateral"
"How long does PO funding take from application to supplier payment?","Process & Timeline","PO Funding FAQ","Video","Medium","PO Funding","Speed question"
"What's the realistic timeline for an SBA loan?","Process & Timeline","SBA FAQ","Video","Medium","SBA","Timeline expectations"
"What are current SBA loan interest rates—are they actually lower?","Cost & Pricing","SBA FAQ","Text","Medium","SBA","Rate comparison"
